# Using errors avg=d*2/sqrt(5), spl=d/sqrt(5), mot=0.
# First column d (in units of standard gate detuning epsilon_1).
# Column 'n' gate infidelity for pure state |0> with 'n-1' tones.
1.000000000000000048e-04 3.343677279499246424e-07 4.324570298530616697e-06 3.506879720172051407e-06 2.393578833514986570e-05 1.955184883128957551e-05 3.548965277211379998e-08
1.047128548050899619e-04 3.666243967304083640e-07 4.334023124386021664e-06 3.515268306553132049e-06 2.393540170797514577e-05 1.955152804389292953e-05 3.581261243112976445e-08
1.096478196143185150e-04 4.019930002208127462e-07 4.344386583365889010e-06 3.524464695869866659e-06 2.393497821251422408e-05 1.955117650398463525e-05 3.616649713045205772e-08
1.148153621496882939e-04 4.407737644873677141e-07 4.355748514650592540e-06 3.534546794581316931e-06 2.393451432758375574e-05 1.955079126059189321e-05 3.655427038840031173e-08
1.202264434617413111e-04 4.832958795386588235e-07 4.368205239413391894e-06 3.545600031795714813e-06 2.393400618883045894e-05 1.955036908118934491e-05 3.697918105061148708e-08
1.258925411794167436e-04 5.299202950892478725e-07 4.381862378499690180e-06 3.557718082913829960e-06 2.393344956952425662e-05 1.954990642283327418e-05 3.744478893619174187e-08
1.318256738556407401e-04 5.810427835539755392e-07 4.396835752706884648e-06 3.571003670099770488e-06 2.393283983426197636e-05 1.954939940218558547e-05 3.795128800110347811e-08
1.380384264602885192e-04 6.370972991387446882e-07 4.413252367330144921e-06 3.585569434139124212e-06 2.393217191010155176e-05 1.954884376642596067e-05 3.851025653922590664e-08
1.445439770745927987e-04 6.985596631148283109e-07 4.431251495518040429e-06 3.601538895448008759e-06 2.393144023804527620e-05 1.954823485483814238e-05 3.912277468653968526e-08
1.513561248436208798e-04 7.659516010338762726e-07 4.450985861770284657e-06 3.619047503899963658e-06 2.393063872907497114e-05 1.954756756106235116e-05 3.979397400488693393e-08
1.584893192461114190e-04 8.398451730728950793e-07 4.472622944007298429e-06 3.638243793457895947e-06 2.392976071752261902e-05 1.954683629168396664e-05 4.052947821797658889e-08
1.659586907437561511e-04 9.208676290395345632e-07 4.496346400761908058e-06 3.659290647162194432e-06 2.392879890233956530e-05 1.954603491916007130e-05 4.133544906359531979e-08
1.737800828749376319e-04 1.009706732446602473e-06 4.522357634928475534e-06 3.682366685242577375e-06 2.392774528803265355e-05 1.954515672974999063e-05 4.221863947329040911e-08
1.819700858609982642e-04 1.107116599508017885e-06 4.550877510611783805e-06 3.707667786567725443e-06 2.392659112215866912e-05 1.954419437266707860e-05 4.318644930556558847e-08
1.905460717963248141e-04 1.213924100018637375e-06 4.582148237397554169e-06 3.735408759419911462e-06 2.392532682138348576e-05 1.954313979335431384e-05 4.424698718530351016e-08
1.995262314968878758e-04 1.331035876073194402e-06 4.616435432369669911e-06 3.765825172696857237e-06 2.392394189421054307e-05 1.954198417375430097e-05 4.540913878248176161e-08
2.089296130854038740e-04 1.459446038243328303e-06 4.654030389072971730e-06 3.799175364305185099e-06 2.392242485838025345e-05 1.954071785625899338e-05 4.668264208529393500e-08
2.187761623949551837e-04 1.600244603605638360e-06 4.695252560082963100e-06 3.835742645730277900e-06 2.392076314483571053e-05 1.953933026710430454e-05 4.807816889051963472e-08
2.290867652767772324e-04 1.754626748562415628e-06 4.740452285822982503e-06 3.875837719768959744e-06 2.391894299991204065e-05 1.953780982710817682e-05 4.960741417647795970e-08
2.398832919019489897e-04 1.923902954170664259e-06 4.790013781064139664e-06 3.919801333185368719e-06 2.391694937453614500e-05 1.953614386307478412e-05 5.128319557901050985e-08
2.511886431509579545e-04 2.109510128356362202e-06 4.844358420852401537e-06 3.968007184940169907e-06 2.391489527986401242e-05 1.953431850165721073e-05 5.311956052800326233e-08
2.630267991895381412e-04 2.313023804489944268e-06 4.903948335188701435e-06 4.020865118636862690e-06 2.391250381261755820e-05 1.953231855988946108e-05 5.512824152731354843e-08
2.754228703338166195e-04 2.536171514355700651e-06 4.969290361422906699e-06 4.078824626052579561e-06 2.390988470080124273e-05 1.953012742172965943e-05 5.733334307311821476e-08
2.884031503126605490e-04 2.780847450534196241e-06 5.040940373790547824e-06 4.142378685734193766e-06 2.390701640830883434e-05 1.952772691082849121e-05 5.974979866429919184e-08
3.019951720402015813e-04 3.049128546317447785e-06 5.119508038609055234e-06 4.212067982733991300e-06 2.390387539141780593e-05 1.952509714131522855e-05 6.239789041018184435e-08
3.162277660168379394e-04 3.343292103608064281e-06 5.205662028329172131e-06 4.288485530357100117e-06 2.390043592082058410e-05 1.952221636303264063e-05 6.529985396852566737e-08
3.311311214825911017e-04 3.665835122346194908e-06 5.300135745178735647e-06 4.372300587363042723e-06 2.389666987934191411e-05 1.951906079744603062e-05 6.848007183535287368e-08
